League,Date,Time,Rodada,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre
England Championship,2023-09-30,11:00:00,9,Millwall,Swansea City,2.11,3.4,3.2,1.06,10.0,1.36,3.2,2.25,1.57,1.44,2.63,1.83,1.83,1.3,1.28,1.78,1.5,0.25,1.54,1.12,2.66
Italy Serie B,2023-09-30,11:15:00,8,Ternana,Reggiana,2.25,3.25,3.05,1.08,7.0,1.4,2.7,2.17,1.64,1.5,2.5,1.95,1.8,1.31,1.34,1.62,0.5,1.25,1.14,1.03,2.17
Spain La Liga,2023-09-30,11:15:00,8,Rayo Vallecano,RCD Mallorca,2.07,3.3,3.9,1.1,6.5,1.48,2.63,2.47,1.54,1.55,2.3,2.05,1.75,1.33,1.32,1.65,1.33,1.0,1.75,1.21,2.96
Spain Segunda División,2023-09-30,11:15:00,8,SD Eibar,CD Tenerife,1.95,3.2,3.95,1.11,6.5,1.52,2.51,2.55,1.39,1.59,2.24,2.35,1.55,1.15,1.28,1.9,2.0,2.0,1.41,1.11,2.52
Portugal Liga NOS,2023-09-30,11:30:00,7,FC Vizela,Portimonense,1.82,3.6,4.0,0.0,0.0,0.0,0.0,2.02,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.33,1.52,0.86,2.38
Bulgaria First League,2023-09-30,11:30:00,12,Botev Vratsa,CSKA 1948 Sofia,6.75,3.6,1.44,1.02,9.1,1.28,3.2,1.9,1.8,1.39,2.88,2.11,1.69,2.7,1.21,1.08,1.2,1.4,1.11,1.27,2.38
Netherlands Eredivisie,2023-09-30,11:30:00,7,Feyenoord,Go Ahead Eagles,1.18,7.9,13.0,1.0,36.0,1.07,7.77,1.28,3.25,1.18,4.5,1.8,1.95,1.03,1.05,5.0,2.33,0.33,2.63,1.07,3.7
Austria Bundesliga,2023-09-30,12:00:00,9,Austria Lustenau,Salzburg,11.5,6.7,1.18,1.0,12.0,1.11,5.5,1.39,2.61,1.22,4.0,2.0,1.75,4.0,1.08,1.03,0.0,2.5,1.15,1.66,2.81
Serbia SuperLiga,2023-09-30,12:00:00,10,Spartak Subotica,Čukarički,3.4,3.1,2.0,1.03,8.4,1.31,2.97,2.0,1.7,1.43,2.63,1.77,1.85,1.65,1.25,1.29,2.4,1.33,1.29,1.76,3.05
Austria Bundesliga,2023-09-30,12:00:00,9,Blau-Weiß Linz,Austria Klagenfurt,2.64,3.75,2.31,1.02,15.0,1.23,4.35,1.6,2.2,1.33,3.25,1.62,2.2,1.55,1.25,1.47,0.67,2.0,0.99,1.45,2.44
Croatia Prva HNL,2023-09-30,12:00:00,10,Varaždin,Gorica,2.23,3.35,3.05,1.06,8.0,1.36,3.0,1.91,1.83,1.44,2.62,1.8,1.91,1.33,1.3,1.65,1.75,1.75,1.51,1.29,2.8
France Ligue 1,2023-09-30,12:00:00,7,Clermont,PSG,5.7,4.85,1.49,1.02,19.0,1.18,5.0,1.46,2.46,1.29,3.5,1.75,2.0,2.8,1.15,1.1,0.0,2.0,1.56,1.8,3.36
Austria Bundesliga,2023-09-30,12:00:00,9,Wolfsberger AC,LASK Linz,2.93,3.75,2.12,1.02,15.0,1.22,4.2,1.61,2.13,1.33,3.25,1.62,2.2,1.7,1.22,1.4,1.0,1.33,1.29,1.19,2.48
Sweden Allsvenskan,2023-09-30,12:30:00,25,Norrköping,Kalmar,2.04,3.5,3.3,1.04,8.5,1.29,3.3,1.97,1.89,1.43,2.63,1.73,2.0,1.3,1.33,1.78,1.42,1.25,1.41,1.14,2.55
Chile Primera División,2023-09-30,12:30:00,10,Coquimbo Unido,Ñublense,2.06,3.35,3.35,1.04,8.5,1.3,3.2,2.02,1.84,1.36,3.0,1.8,1.91,1.29,1.3,1.7,2.09,1.36,1.49,1.25,2.74
Poland Ekstraklasa,2023-09-30,12:30:00,10,Puszcza Niepołomice,Ruch Chorzów,2.44,3.2,2.78,1.07,8.5,1.36,2.95,2.11,1.62,1.46,2.55,1.83,1.9,1.42,1.28,1.53,1.75,0.4,1.19,0.85,2.04
Turkey Süper Lig,2023-09-30,13:00:00,7,Galatasaray,Ankaragücü,1.34,5.2,6.8,1.01,26.0,1.11,6.09,1.46,2.48,1.25,4.33,1.65,2.2,1.11,1.17,3.4,3.0,1.33,1.45,1.43,2.88
Italy Serie A,2023-09-30,13:00:00,7,AC Milan,Lazio,1.86,3.8,4.2,1.05,12.0,1.3,3.6,1.88,1.98,1.4,3.0,1.83,1.98,1.22,1.24,2.0,3.0,1.0,1.43,1.2,2.63
Slovakia Super Liga,2023-09-30,13:00:00,9,Trenčín,Dukla Banská Bystrica,2.06,3.35,3.1,1.03,11.0,1.18,4.5,1.54,2.17,1.29,3.5,1.52,2.45,1.28,1.22,1.66,3.0,2.5,1.93,1.44,3.37
Slovakia Super Liga,2023-09-30,13:00:00,9,Ružomberok,Zemplín Michalovce,1.55,3.7,5.15,1.05,9.0,1.25,3.75,1.72,1.89,1.36,3.0,1.85,1.85,1.15,1.25,2.2,1.75,0.0,1.18,1.34,2.52
Czech Republic First League,2023-09-30,13:00:00,10,Sparta Praha,Viktoria Plzeň,1.7,3.7,3.8,1.02,10.0,1.2,4.33,1.59,2.13,1.3,3.25,1.57,2.3,1.2,1.2,1.9,3.0,2.0,2.36,2.06,4.42
Switzerland Super League,2023-09-30,13:00:00,9,Winterthur,Lugano,2.88,3.75,2.14,1.04,14.25,1.23,4.17,1.73,2.0,1.33,3.1,1.62,2.2,1.62,1.22,1.38,2.0,0.75,1.79,1.42,3.21
Switzerland Super League,2023-09-30,13:00:00,9,Servette,Lausanne Sport,1.96,3.75,3.3,1.04,10.0,1.25,3.75,1.68,2.04,1.33,3.25,1.7,2.05,1.22,1.25,2.01,0.75,0.75,1.77,1.3,3.07
Serbia SuperLiga,2023-09-30,13:05:00,10,Red Star Belgrade,Radnički Niš,1.05,10.4,24.0,1.01,15.5,1.08,7.6,1.25,3.48,1.17,4.5,2.35,1.48,1.01,1.03,6.0,3.0,0.2,2.26,1.33,3.59
Wales Welsh Premier League,2023-09-30,13:15:00,10,Connah's Quay,Penybont,1.85,3.4,3.6,1.02,9.2,1.25,3.6,1.89,1.87,1.39,2.75,1.7,2.1,1.22,1.22,1.72,3.0,1.75,1.79,1.58,3.37
Belgium Pro League,2023-09-30,13:15:00,9,OH Leuven,Standard Liège,2.21,3.7,2.79,1.04,11.0,1.2,4.5,1.64,2.26,1.28,3.3,1.49,2.45,1.4,1.27,1.6,1.25,1.25,1.35,1.3,2.65
Spain Segunda División,2023-09-30,13:30:00,8,Elche CF,Levante UD,2.21,3.35,3.05,1.07,8.5,1.36,3.0,2.06,1.75,1.44,2.6,1.85,1.9,1.3,1.25,1.7,1.75,2.33,1.72,1.49,3.21
Spain La Liga,2023-09-30,13:30:00,8,Girona FC,Real Madrid,3.65,4.0,1.94,1.03,15.0,1.2,4.5,1.58,2.14,1.3,3.44,1.58,2.35,1.9,1.22,1.3,3.0,2.25,1.7,1.84,3.54
England Premier League,2023-09-30,13:30:00,7,Tottenham Hotspur,Liverpool,2.89,4.2,2.2,1.01,27.0,1.12,6.8,1.39,2.86,1.22,4.0,1.36,3.0,1.66,1.24,1.4,3.0,2.33,2.33,1.33,3.66
Germany Bundesliga,2023-09-30,13:30:00,6,RB Leipzig,Bayern München,3.15,4.25,2.06,1.02,26.0,1.12,6.5,1.34,2.91,1.22,4.0,1.4,2.75,1.88,1.2,1.35,3.0,3.0,1.73,2.43,4.16
Netherlands Eredivisie,2023-09-30,13:45:00,7,Utrecht,Almere City,1.4,4.3,6.95,1.02,17.0,1.18,4.65,1.51,2.35,1.29,3.5,1.67,2.1,1.14,1.17,2.55,0.0,0.33,1.12,1.24,2.36
Netherlands Eredivisie,2023-09-30,13:45:00,7,PSV,Volendam,1.08,12.5,26.0,1.01,46.0,1.04,12.0,1.17,4.2,1.13,6.0,1.95,1.8,1.0,1.03,8.6,3.0,0.0,2.41,1.2,3.61
Bulgaria First League,2023-09-30,14:00:00,12,Botev Plovdiv,Beroe,1.74,3.35,3.9,1.02,8.9,1.28,3.2,1.88,1.7,1.41,2.79,1.86,1.9,1.23,1.28,1.92,0.6,0.67,1.64,1.21,2.85
France Ligue 2,2023-09-30,14:00:00,9,Annecy,Paris,2.31,3.2,2.8,1.08,8.0,1.4,2.95,2.13,1.61,1.48,2.5,1.85,1.83,1.38,1.29,1.55,1.25,0.0,1.38,1.12,2.5
France Ligue 2,2023-09-30,14:00:00,9,Pau,Amiens SC,2.72,3.3,2.34,1.06,9.0,1.33,3.3,1.91,1.86,1.42,2.65,1.73,1.95,1.5,1.29,1.42,1.75,1.0,1.25,1.18,2.43
France Ligue 2,2023-09-30,14:00:00,9,Angers SCO,Concarneau,1.76,3.3,4.2,1.07,8.5,1.4,2.95,2.12,1.57,1.48,2.5,1.95,1.73,1.2,1.25,1.9,2.0,1.5,1.55,1.34,2.89
France Ligue 2,2023-09-30,14:00:00,9,Caen,Guingamp,2.03,3.25,3.3,1.06,9.0,1.35,3.2,1.89,1.72,1.42,2.63,1.83,1.83,1.25,1.25,1.8,1.5,1.0,1.49,1.48,2.97
France Ligue 2,2023-09-30,14:00:00,9,Dunkerque,Quevilly Rouen,2.22,3.25,2.93,1.07,7.75,1.42,2.75,2.26,1.63,1.47,2.5,1.95,1.8,1.3,1.25,1.62,0.5,0.25,1.64,1.3,2.94
France Ligue 2,2023-09-30,14:00:00,9,Laval,Valenciennes,1.73,3.45,4.35,0.0,0.0,0.0,0.0,1.89,1.72,1.44,2.63,2.0,1.73,0.0,0.0,0.0,3.0,1.25,1.35,0.96,2.31
Serbia SuperLiga,2023-09-30,14:00:00,10,Mladost Lučani,Bačka Topola,4.2,3.55,1.75,0.0,0.0,0.0,0.0,1.86,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3.0,0.99,1.77,2.76
France Ligue 2,2023-09-30,14:00:00,9,Auxerre,Rodez,1.63,3.8,4.45,1.06,9.5,1.29,3.75,1.88,1.92,1.35,2.95,1.73,1.95,1.15,1.22,2.15,1.25,1.25,1.63,1.41,3.04
France Ligue 2,2023-09-30,14:00:00,9,Grenoble Foot 38,Bordeaux,2.58,3.1,2.58,1.07,8.5,1.4,3.0,2.0,1.73,1.48,2.45,1.85,1.8,1.48,1.29,1.45,2.0,1.25,1.75,1.65,3.4
Portugal Liga NOS,2023-09-30,14:00:00,7,Boavista FC,Famalicão,2.19,3.45,3.0,0.0,0.0,0.0,0.0,2.03,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,1.33,0.84,1.13,1.97
Croatia Prva HNL,2023-09-30,14:15:00,10,Slaven Koprivnica,Osijek,3.66,3.43,1.95,1.05,9.0,1.25,3.75,1.86,1.86,1.36,3.0,1.67,2.1,1.81,1.28,1.28,1.0,1.25,1.11,1.52,2.63
Chile Primera División,2023-09-30,15:00:00,25,Magallanes,Everton,2.78,3.2,2.44,1.03,8.4,1.3,3.08,2.01,1.78,1.42,2.75,1.85,1.85,1.55,1.32,1.41,1.36,1.36,1.41,1.54,2.95
Poland Ekstraklasa,2023-09-30,15:00:00,10,Warta Poznań,Śląsk Wrocław,2.3,3.25,2.95,1.07,8.5,1.42,2.75,2.03,1.7,1.49,2.45,1.95,1.8,1.36,1.28,1.57,1.0,2.0,0.98,1.33,2.31
Slovenia PrvaLiga,2023-09-30,15:15:00,11,Mura,Celje,2.63,3.4,2.38,1.04,11.0,1.22,4.0,1.8,2.0,1.33,3.0,1.6,2.15,1.55,1.28,1.43,0.25,2.0,1.24,1.67,2.91
Romania Liga I,2023-09-30,15:30:00,11,SSC Farul,Sepsi,2.11,3.25,3.15,1.04,7.9,1.34,2.88,2.16,1.59,1.45,2.64,1.88,1.86,1.33,1.32,1.64,1.5,1.33,1.98,1.19,3.17
Germany 2. Bundesliga,2023-09-30,15:30:00,8,Hertha BSC,St. Pauli,2.43,3.8,2.66,1.04,11.0,1.17,4.75,1.68,2.04,1.3,3.25,1.5,2.5,1.45,1.22,1.5,2.0,1.67,1.7,1.36,3.06
Brazil Serie B,2023-09-30,15:30:00,30,Juventude,Criciúma,2.12,3.1,3.5,1.11,6.5,1.52,2.3,2.5,1.47,1.58,2.2,2.2,1.57,1.27,1.36,1.65,1.71,1.13,1.58,1.15,2.73
Switzerland Super League,2023-09-30,15:30:00,9,Grasshopper,Young Boys,4.05,4.25,1.67,1.02,15.0,1.12,4.9,1.48,2.44,1.25,3.55,1.62,2.2,2.4,1.17,1.18,1.0,1.25,1.21,1.46,2.67
Belgium Pro League,2023-09-30,15:45:00,9,KV Mechelen,Royal Antwerp FC,3.4,3.8,1.92,1.04,11.0,1.2,4.5,1.54,2.22,1.3,3.2,1.53,2.3,1.98,1.26,1.22,1.5,1.25,1.58,1.34,2.92
Italy Serie A,2023-09-30,15:45:00,7,Salernitana,Inter Milan,6.7,4.8,1.46,1.03,15.0,1.2,4.5,1.54,2.27,1.3,3.44,1.8,1.98,2.8,1.16,1.1,0.67,3.0,1.55,1.9,3.45
Netherlands Eredivisie,2023-09-30,16:00:00,7,RKC Waalwijk,Ajax,5.8,5.2,1.45,1.01,29.0,1.1,6.39,1.25,3.41,1.2,4.33,1.44,2.63,2.5,1.15,1.17,1.0,0.67,1.04,1.49,2.53
Spain Segunda División,2023-09-30,16:00:00,8,Villarreal II,AD Alcorcón,2.42,3.25,2.79,1.09,7.5,1.42,2.75,2.2,1.62,1.49,2.45,1.95,1.8,1.42,1.28,1.53,2.0,1.33,1.63,1.4,3.03
France Ligue 1,2023-09-30,16:00:00,7,Monaco,Olympique Marseille,2.35,3.8,2.74,1.02,21.0,1.18,5.0,1.51,2.46,1.29,3.5,1.5,2.5,1.42,1.22,1.7,2.0,0.67,1.21,1.77,2.98
Spain La Liga,2023-09-30,16:00:00,8,Real Sociedad,Athletic Club Bilbao,2.28,3.35,3.3,1.09,8.0,1.45,2.8,2.17,1.69,1.53,2.5,2.0,1.78,1.35,1.3,1.65,2.0,2.33,1.38,1.12,2.5
Spain Segunda División,2023-09-30,16:00:00,8,Albacete Balompié,FC Andorra,1.99,3.4,3.55,1.07,8.5,1.36,3.0,2.21,1.52,1.44,2.6,1.9,1.85,1.25,1.25,1.83,2.0,1.0,1.68,1.8,3.48
Netherlands Eredivisie,2023-09-30,16:00:00,7,Twente,Heerenveen,1.37,5.6,6.9,1.01,29.0,1.1,6.39,1.41,2.63,1.2,4.33,1.57,2.25,1.08,1.12,3.2,3.0,1.0,1.79,1.07,2.86
Brazil Serie A,2023-09-30,16:00:00,25,Fortaleza,Grêmio,2.25,3.3,3.0,1.06,10.0,1.35,3.2,2.05,1.67,1.44,2.63,1.8,1.95,1.5,1.28,1.47,2.0,1.0,1.9,1.45,3.35
Brazil Serie A,2023-09-30,16:00:00,25,Flamengo,Bahia,1.58,4.15,4.85,1.02,15.0,1.22,4.2,1.53,2.24,1.33,3.25,1.8,1.95,1.15,1.21,2.35,1.73,0.75,1.8,1.47,3.27
Argentina Primera División,2023-09-30,16:00:00,7,San Lorenzo,Huracán,2.16,2.97,3.76,1.12,5.78,1.67,2.22,2.88,1.4,1.67,2.1,2.63,1.44,1.28,1.33,1.72,1.94,0.56,1.34,1.22,2.56
Portugal Liga NOS,2023-09-30,16:30:00,7,Farense,Sporting CP,6.2,4.6,1.42,0.0,0.0,0.0,0.0,1.68,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.51,1.1,2.61
Argentina Primera División,2023-09-30,16:30:00,7,Rosario Central,Newell's Old Boys,2.38,3.0,3.3,1.11,6.25,1.53,2.51,2.6,1.48,1.57,2.25,2.1,1.67,1.35,1.37,1.57,2.18,0.75,1.62,1.35,2.97
Brazil Serie B,2023-09-30,17:00:00,30,Guarani,Novorizontino,2.49,2.95,2.95,1.13,6.25,1.52,2.3,2.7,1.45,1.6,2.2,2.15,1.6,1.37,1.38,1.49,2.29,1.36,1.41,1.49,2.9
Brazil Serie B,2023-09-30,17:00:00,30,Ituano,Botafogo SP,2.06,3.05,3.8,1.12,5.75,1.51,2.31,2.81,1.38,1.61,2.15,2.3,1.53,1.22,1.35,1.77,1.36,1.21,1.53,1.07,2.6
Chile Primera División,2023-09-30,17:30:00,25,Huachipato,Copiapó,1.82,3.7,3.85,1.05,9.0,1.29,3.5,1.85,2.01,1.36,3.0,1.76,2.01,1.17,1.22,1.84,1.75,0.83,1.58,1.43,3.01
Brazil Serie B,2023-09-30,18:00:00,30,ABC,Ponte Preta,2.75,2.8,2.9,1.12,6.0,1.67,2.1,3.1,1.36,1.63,2.1,2.3,1.55,1.34,1.4,1.5,0.57,0.79,1.32,1.16,2.48
Brazil Serie A,2023-09-30,18:30:00,25,São Paulo,Corinthians,1.85,3.3,4.25,0.0,0.0,1.47,2.38,2.39,1.47,0.0,0.0,2.38,1.53,0.0,0.0,0.0,2.0,0.75,1.92,1.05,2.97
Brazil Serie A,2023-09-30,18:30:00,25,Cuiabá,Fluminense,2.4,3.1,2.91,0.0,0.0,0.0,0.0,2.3,1.52,0.0,0.0,2.05,1.7,0.0,0.0,0.0,1.18,0.73,1.69,1.8,3.49
Argentina Primera División,2023-09-30,19:00:00,7,Racing Club,Independiente,2.1,3.2,3.6,1.09,6.2,1.42,2.65,2.25,1.62,1.5,2.5,1.91,1.8,1.25,1.3,1.7,1.81,1.0,1.6,1.2,2.8
Chile Primera División,2023-09-30,20:00:00,25,Unión Española,Curicó Unido,1.95,3.6,3.45,1.05,9.0,1.3,3.4,1.88,1.98,1.36,3.0,1.73,2.0,1.22,1.29,1.85,1.75,1.0,1.45,1.2,2.65
Paraguay Division Profesional,2023-09-30,20:00:00,13,Tacuary,Nacional Asunción,3.8,3.2,1.86,0.0,0.0,0.0,0.0,2.1,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.35,1.11,1.17,2.28
USA MLS,2023-09-30,20:30:00,0,Toronto,FC Cincinnati,2.99,4.05,2.13,1.02,19.0,1.16,5.0,1.57,2.21,1.25,3.75,1.47,2.55,1.83,1.2,1.35,1.2,1.47,1.39,1.39,2.78
USA MLS,2023-09-30,20:30:00,0,Orlando City,Montreal Impact,1.65,3.75,4.05,1.03,15.0,1.2,4.33,1.74,1.94,1.33,3.3,1.66,2.15,1.17,1.2,2.25,1.73,0.53,1.56,1.22,2.78
USA MLS,2023-09-30,20:30:00,0,New York RB,Chicago Fire,1.63,3.65,4.3,1.03,13.0,1.22,4.0,1.79,1.88,1.35,3.2,1.75,2.05,1.18,1.2,2.15,1.53,0.8,1.53,1.09,2.62
USA MLS,2023-09-30,20:30:00,0,New England Revolution,Charlotte,1.73,4.35,4.15,1.02,17.0,1.17,5.0,1.59,2.17,1.28,3.75,1.55,2.4,1.22,1.18,2.1,2.43,0.93,1.57,1.04,2.61
USA MLS,2023-09-30,20:30:00,0,Inter Miami,New York City,1.68,3.75,4.4,1.02,15.0,1.2,4.33,1.64,2.08,1.3,3.4,1.7,2.15,1.18,1.18,2.25,1.5,0.67,1.33,1.14,2.47
USA MLS,2023-09-30,20:30:00,0,Columbus Crew,Philadelphia Union,1.84,4.05,3.85,1.02,17.0,1.16,5.0,1.51,2.34,1.28,3.75,1.52,2.5,1.25,1.2,2.0,2.4,1.2,1.87,1.42,3.29
Brazil Serie A,2023-09-30,21:00:00,25,Internacional,Atlético Mineiro,2.69,3.0,2.65,0.0,0.0,1.5,2.6,2.38,1.47,0.0,0.0,2.2,1.62,0.0,0.0,0.0,1.64,1.33,1.56,1.37,2.93
USA MLS,2023-09-30,21:30:00,0,Nashville SC,Seattle Sounders,1.93,3.8,3.75,1.04,13.0,1.28,3.6,1.92,1.94,1.4,2.75,1.75,2.0,1.3,1.22,1.83,2.08,1.47,1.56,1.22,2.78
USA MLS,2023-09-30,21:30:00,0,Minnesota United,SJ Earthquakes,1.77,4.15,4.1,1.02,15.0,1.2,4.33,1.59,2.18,1.3,3.4,1.57,2.25,1.22,1.2,2.0,1.13,0.73,1.75,1.11,2.86
USA MLS,2023-09-30,21:30:00,0,St. Louis City,Sporting KC,2.13,3.9,3.05,1.02,17.0,1.2,4.33,1.6,2.2,1.3,3.4,1.57,2.25,1.36,1.22,1.72,2.13,0.8,1.7,1.37,3.07
Argentina Primera División,2023-09-30,21:30:00,7,Banfield,Lanús,2.55,3.0,3.0,1.1,5.75,1.53,2.52,2.58,1.4,1.57,2.25,2.1,1.67,1.43,1.38,1.5,1.41,1.0,1.49,1.35,2.84
USA MLS,2023-09-30,21:30:00,0,Houston Dynamo,FC Dallas,1.84,3.8,4.1,1.03,13.0,1.2,3.84,1.65,2.06,1.33,3.25,1.67,2.1,1.24,1.29,1.96,2.2,0.93,1.43,1.18,2.61
USA MLS,2023-09-30,22:30:00,0,Colorado Rapids,Austin,2.18,3.55,3.25,1.04,12.0,1.28,3.6,1.85,2.01,1.36,3.0,1.67,2.1,1.38,1.25,1.66,0.93,0.87,1.4,1.24,2.64
USA MLS,2023-09-30,23:30:00,0,Vancouver Whitecaps,DC United,1.94,3.65,3.85,1.03,13.0,1.22,4.0,1.77,2.09,1.33,3.25,1.67,2.1,1.25,1.22,1.9,1.79,1.0,1.83,1.42,3.25
USA MLS,2023-09-30,23:30:00,0,LA Galaxy,Portland Timbers,1.97,4.0,3.4,1.03,13.0,1.17,4.75,1.65,2.06,1.29,3.5,1.5,2.5,1.33,1.2,1.83,1.57,0.8,1.8,1.16,2.96
